STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595139191 GHz,
TABLE,Group 1 Raw,CPI,5
Event,Counter,HWThread 65
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,4874665674
CPU_CLOCKS_UNHALTED,PMC1,2116037058
RETIRED_UOPS,PMC2,4918150118
TABLE,Group 1 Metric,CPI,6
Metric,HWThread 65,
Runtime (RDTSC) [s],11.6276,
Runtime unhalted [s],0.8154,
Clock [MHz],-,
CPI,0.4341,
CPI (based on uops),0.4303,
IPC,2.3037,
