STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595137157 GHz,
TABLE,Group 1 Raw,CPI,5
Event,Counter,HWThread 37
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,4255923161
CPU_CLOCKS_UNHALTED,PMC1,2025587603
RETIRED_UOPS,PMC2,4247923943
TABLE,Group 1 Metric,CPI,6
Metric,HWThread 37,
Runtime (RDTSC) [s],11.6638,
Runtime unhalted [s],0.7805,
Clock [MHz],-,
CPI,0.4759,
CPI (based on uops),0.4768,
IPC,2.1011,
