STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595122829 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 70
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,4791506590
CPU_CLOCKS_UNHALTED,PMC1,2077072162
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,60924848
TABLE,Group 1 Metric,L2,8
Metric,HWThread 70,
Runtime (RDTSC) [s],11.9969,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4335,
L2D load bandwidth [MBytes/s],325.0162,
L2D load data volume [GBytes],3.8992,
L2 bandwidth [MBytes/s],325.0162,
L2 data volume [GBytes],3.8992,
