STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.594889826 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 127
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,6352663986
CPU_CLOCKS_UNHALTED,PMC1,2676778504
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,67346171
TABLE,Group 1 Metric,L2,8
Metric,HWThread 127,
Runtime (RDTSC) [s],20.0856,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4214,
L2D load bandwidth [MBytes/s],214.5897,
L2D load data volume [GBytes],4.3102,
L2 bandwidth [MBytes/s],214.5897,
L2 data volume [GBytes],4.3102,
