STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595120102 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 122
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,5110009379
CPU_CLOCKS_UNHALTED,PMC1,2227328947
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,63154968
TABLE,Group 1 Metric,L2,8
Metric,HWThread 122,
Runtime (RDTSC) [s],19.4001,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4359,
L2D load bandwidth [MBytes/s],208.3447,
L2D load data volume [GBytes],4.0419,
L2 bandwidth [MBytes/s],208.3447,
L2 data volume [GBytes],4.0419,
