STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595134024 GHz,
TABLE,Group 1 Raw,CPI,5
Event,Counter,HWThread 34
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,4855997582
CPU_CLOCKS_UNHALTED,PMC1,2239311487
RETIRED_UOPS,PMC2,4902093145
TABLE,Group 1 Metric,CPI,6
Metric,HWThread 34,
Runtime (RDTSC) [s],19.7188,
Runtime unhalted [s],0.8629,
Clock [MHz],-,
CPI,0.4611,
CPI (based on uops),0.4568,
IPC,2.1685,
