STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595131089 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 3
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,2426244039812
CPU_CLOCKS_UNHALTED,PMC1,1243553694927
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,13275140269
TABLE,Group 1 Metric,L2,8
Metric,HWThread 3,
Runtime (RDTSC) [s],510.6112,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.5125,
L2D load bandwidth [MBytes/s],1663.9059,
L2D load data volume [GBytes],849.6090,
L2 bandwidth [MBytes/s],1663.9059,
L2 data volume [GBytes],849.6090,
