STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595146301 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 60
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,3104439222868
CPU_CLOCKS_UNHALTED,PMC1,1442267760665
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,12961668987
TABLE,Group 1 Metric,L2,8
Metric,HWThread 60,
Runtime (RDTSC) [s],591.5375,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4646,
L2D load bandwidth [MBytes/s],1402.3572,
L2D load data volume [GBytes],829.5468,
L2 bandwidth [MBytes/s],1402.3572,
L2 data volume [GBytes],829.5468,
