STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595125493 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 107
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,2318092254475
CPU_CLOCKS_UNHALTED,PMC1,1336740739298
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,18105112651
TABLE,Group 1 Metric,L2,8
Metric,HWThread 107,
Runtime (RDTSC) [s],559.7451,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.5767,
L2D load bandwidth [MBytes/s],2070.0978,
L2D load data volume [GBytes],1158.7272,
L2 bandwidth [MBytes/s],2070.0978,
L2 data volume [GBytes],1158.7272,
