STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595121909 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 42
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,1665477436926
CPU_CLOCKS_UNHALTED,PMC1,1307163882240
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,22652276926
TABLE,Group 1 Metric,L2,8
Metric,HWThread 42,
Runtime (RDTSC) [s],559.9951,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.7849,
L2D load bandwidth [MBytes/s],2588.8543,
L2D load data volume [GBytes],1449.7457,
L2 bandwidth [MBytes/s],2588.8543,
L2 data volume [GBytes],1449.7457,
