STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595098164 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 126
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,2752067481189
CPU_CLOCKS_UNHALTED,PMC1,1355202717050
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,17463238626
TABLE,Group 1 Metric,L2,8
Metric,HWThread 126,
Runtime (RDTSC) [s],557.6824,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4924,
L2D load bandwidth [MBytes/s],2004.0929,
L2D load data volume [GBytes],1117.6473,
L2 bandwidth [MBytes/s],2004.0929,
L2 data volume [GBytes],1117.6473,
