STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595127011 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 25
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,2131839528171
CPU_CLOCKS_UNHALTED,PMC1,1308813260969
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,20482568845
TABLE,Group 1 Metric,L2,8
Metric,HWThread 25,
Runtime (RDTSC) [s],559.7109,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.6139,
L2D load bandwidth [MBytes/s],2342.0739,
L2D load data volume [GBytes],1310.8844,
L2 bandwidth [MBytes/s],2342.0739,
L2 data volume [GBytes],1310.8844,
