STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.59513771 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 8
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,7543086261
CPU_CLOCKS_UNHALTED,PMC1,3137290106
DATA_CACHE_ACCESSES,PMC2,3729202688
DATA_CACHE_REFILLS_ALL,PMC3,8342549
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 8,
Runtime (RDTSC) [s],20.4115,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4159,
data cache requests,3729202688,
data cache request rate,0.4944,
data cache misses,8342549,
data cache miss rate,0.0011,
data cache miss ratio,0.0022,
