STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595137618 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 100
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,5936690320
CPU_CLOCKS_UNHALTED,PMC1,3063528851
DATA_CACHE_ACCESSES,PMC2,2874224592
DATA_CACHE_REFILLS_ALL,PMC3,12535491
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 100,
Runtime (RDTSC) [s],22.9800,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.5160,
data cache requests,2874224592,
data cache request rate,0.4841,
data cache misses,12535491,
data cache miss rate,0.0021,
data cache miss ratio,0.0044,
