STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595135944 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 6
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,8160024329
CPU_CLOCKS_UNHALTED,PMC1,3297816346
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,69069815
TABLE,Group 1 Metric,L2,8
Metric,HWThread 6,
Runtime (RDTSC) [s],21.4216,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4041,
L2D load bandwidth [MBytes/s],206.3561,
L2D load data volume [GBytes],4.4205,
L2 bandwidth [MBytes/s],206.3561,
L2 data volume [GBytes],4.4205,
