STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595142882 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 28
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,7255209281
CPU_CLOCKS_UNHALTED,PMC1,3180109922
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,66971556
TABLE,Group 1 Metric,L2,8
Metric,HWThread 28,
Runtime (RDTSC) [s],21.3313,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4383,
L2D load bandwidth [MBytes/s],200.9337,
L2D load data volume [GBytes],4.2862,
L2 bandwidth [MBytes/s],200.9337,
L2 data volume [GBytes],4.2862,
