STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595133458 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 106
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,4824040428
CPU_CLOCKS_UNHALTED,PMC1,2257867943
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,69961590
TABLE,Group 1 Metric,L2,8
Metric,HWThread 106,
Runtime (RDTSC) [s],19.9833,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4680,
L2D load bandwidth [MBytes/s],224.0639,
L2D load data volume [GBytes],4.4775,
L2 bandwidth [MBytes/s],224.0639,
L2 data volume [GBytes],4.4775,
