STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595127105 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 28
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,5099811419
CPU_CLOCKS_UNHALTED,PMC1,2220502313
DATA_CACHE_ACCESSES,PMC2,2454326330
DATA_CACHE_REFILLS_ALL,PMC3,7312958
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 28,
Runtime (RDTSC) [s],21.2928,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4354,
data cache requests,2454326330,
data cache request rate,0.4813,
data cache misses,7312958,
data cache miss rate,0.0014,
data cache miss ratio,0.0030,
