STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595106828 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 17
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,5244839532
CPU_CLOCKS_UNHALTED,PMC1,2622871522
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,79561454
TABLE,Group 1 Metric,L2,8
Metric,HWThread 17,
Runtime (RDTSC) [s],11.6325,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.5001,
L2D load bandwidth [MBytes/s],437.7342,
L2D load data volume [GBytes],5.0919,
L2 bandwidth [MBytes/s],437.7342,
L2 data volume [GBytes],5.0919,
