STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595127001 GHz,
TABLE,Group 1 Raw,CPI,5
Event,Counter,HWThread 17
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,5226901847
CPU_CLOCKS_UNHALTED,PMC1,2575075019
RETIRED_UOPS,PMC2,5208914484
TABLE,Group 1 Metric,CPI,6
Metric,HWThread 17,
Runtime (RDTSC) [s],10.9169,
Runtime unhalted [s],0.9923,
Clock [MHz],-,
CPI,0.4927,
CPI (based on uops),0.4944,
IPC,2.0298,
