STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595129682 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 3
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,5785906730
CPU_CLOCKS_UNHALTED,PMC1,2620880729
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,78037326
TABLE,Group 1 Metric,L2,8
Metric,HWThread 3,
Runtime (RDTSC) [s],11.1197,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4530,
L2D load bandwidth [MBytes/s],449.1469,
L2D load data volume [GBytes],4.9944,
L2 bandwidth [MBytes/s],449.1469,
L2 data volume [GBytes],4.9944,
