STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595124629 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 81
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,4888391665
CPU_CLOCKS_UNHALTED,PMC1,2298840814
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,90897436
TABLE,Group 1 Metric,L2,8
Metric,HWThread 81,
Runtime (RDTSC) [s],23.4323,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4703,
L2D load bandwidth [MBytes/s],248.2656,
L2D load data volume [GBytes],5.8174,
L2 bandwidth [MBytes/s],248.2656,
L2 data volume [GBytes],5.8174,
