STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595123378 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 18
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,4686615964
CPU_CLOCKS_UNHALTED,PMC1,2175180252
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,66613273
TABLE,Group 1 Metric,L2,8
Metric,HWThread 18,
Runtime (RDTSC) [s],20.6008,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4641,
L2D load bandwidth [MBytes/s],206.9456,
L2D load data volume [GBytes],4.2632,
L2 bandwidth [MBytes/s],206.9456,
L2 data volume [GBytes],4.2632,
