STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595115312 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 110
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,1774318506066
CPU_CLOCKS_UNHALTED,PMC1,1289710922837
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,16550644285
TABLE,Group 1 Metric,L2,8
Metric,HWThread 110,
Runtime (RDTSC) [s],536.5707,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.7269,
L2D load bandwidth [MBytes/s],1974.0943,
L2D load data volume [GBytes],1059.2412,
L2 bandwidth [MBytes/s],1974.0943,
L2 data volume [GBytes],1059.2412,
