STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595137959 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 1
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,2407012233994
CPU_CLOCKS_UNHALTED,PMC1,1303647239471
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,13928515410
TABLE,Group 1 Metric,L2,8
Metric,HWThread 1,
Runtime (RDTSC) [s],539.2714,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.5416,
L2D load bandwidth [MBytes/s],1653.0173,
L2D load data volume [GBytes],891.4250,
L2 bandwidth [MBytes/s],1653.0173,
L2 data volume [GBytes],891.4250,
