STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595104299 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 29
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,2265709684655
CPU_CLOCKS_UNHALTED,PMC1,1230361726375
DATA_CACHE_ACCESSES,PMC2,1136533273800
DATA_CACHE_REFILLS_ALL,PMC3,4830178009
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 29,
Runtime (RDTSC) [s],588.6411,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.5430,
data cache requests,1136533273800,
data cache request rate,0.5016,
data cache misses,4830178009,
data cache miss rate,0.0021,
data cache miss ratio,0.0042,
