STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.59511864 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 68
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,2500315860925
CPU_CLOCKS_UNHALTED,PMC1,1271078113397
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,18622425335
TABLE,Group 1 Metric,L2,8
Metric,HWThread 68,
Runtime (RDTSC) [s],594.2595,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.5084,
L2D load bandwidth [MBytes/s],2005.5803,
L2D load data volume [GBytes],1191.8352,
L2 bandwidth [MBytes/s],2005.5803,
L2 data volume [GBytes],1191.8352,
