STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595132701 GHz,
TABLE,Group 1 Raw,MEM,6
Event,Counter,HWThread 64
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,3066828953422
CPU_CLOCKS_UNHALTED,PMC1,1365338279139
DRAM_CHANNEL_0,DFC0,0
DRAM_CHANNEL_1,DFC1,0
TABLE,Group 1 Metric,MEM,6
Metric,HWThread 64,
Runtime (RDTSC) [s],564.4560,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4452,
Memory bandwidth [MBytes/s],0,
Memory data volume [GBytes],0,
