STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595083836 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 57
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,2735133684071
CPU_CLOCKS_UNHALTED,PMC1,1383784920663
DATA_CACHE_ACCESSES,PMC2,1394446036406
DATA_CACHE_REFILLS_ALL,PMC3,4744707508
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 57,
Runtime (RDTSC) [s],577.8983,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.5059,
data cache requests,1394446036406,
data cache request rate,0.5098,
data cache misses,4744707508,
data cache miss rate,0.0017,
data cache miss ratio,0.0034,
