STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.59511655 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 63
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,2628259125149
CPU_CLOCKS_UNHALTED,PMC1,1330630417520
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,15021045220
TABLE,Group 1 Metric,L2,8
Metric,HWThread 63,
Runtime (RDTSC) [s],552.1868,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.5063,
L2D load bandwidth [MBytes/s],1740.9814,
L2D load data volume [GBytes],961.3469,
L2 bandwidth [MBytes/s],1740.9814,
L2 data volume [GBytes],961.3469,
