STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595142145 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 96
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,2576920815804
CPU_CLOCKS_UNHALTED,PMC1,1623776306157
DATA_CACHE_ACCESSES,PMC2,1263033320983
DATA_CACHE_REFILLS_ALL,PMC3,8113443929
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 96,
Runtime (RDTSC) [s],663.9863,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.6301,
data cache requests,1263033320983,
data cache request rate,0.4901,
data cache misses,8113443929,
data cache miss rate,0.0031,
data cache miss ratio,0.0064,
