STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595136464 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 32
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,2833483246131
CPU_CLOCKS_UNHALTED,PMC1,1633834077406
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,30650004174
TABLE,Group 1 Metric,L2,8
Metric,HWThread 32,
Runtime (RDTSC) [s],662.9380,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.5766,
L2D load bandwidth [MBytes/s],2958.9496,
L2D load data volume [GBytes],1961.6003,
L2 bandwidth [MBytes/s],2958.9496,
L2 data volume [GBytes],1961.6003,
