STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595106116 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 1
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,6520117412
CPU_CLOCKS_UNHALTED,PMC1,2733114111
DATA_CACHE_ACCESSES,PMC2,3186058532
DATA_CACHE_REFILLS_ALL,PMC3,8098193
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 1,
Runtime (RDTSC) [s],21.8545,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4192,
data cache requests,3186058532,
data cache request rate,0.4887,
data cache misses,8098193,
data cache miss rate,0.0012,
data cache miss ratio,0.0025,
