STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595149981 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 74
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,6087418573
CPU_CLOCKS_UNHALTED,PMC1,2604005737
DATA_CACHE_ACCESSES,PMC2,2970229934
DATA_CACHE_REFILLS_ALL,PMC3,7924564
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 74,
Runtime (RDTSC) [s],20.9729,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4278,
data cache requests,2970229934,
data cache request rate,0.4879,
data cache misses,7924564,
data cache miss rate,0.0013,
data cache miss ratio,0.0027,
