STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595148553 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 91
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,5154974236
CPU_CLOCKS_UNHALTED,PMC1,2488065207
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,66524990
TABLE,Group 1 Metric,L2,8
Metric,HWThread 91,
Runtime (RDTSC) [s],19.1538,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4827,
L2D load bandwidth [MBytes/s],222.2852,
L2D load data volume [GBytes],4.2576,
L2 bandwidth [MBytes/s],222.2852,
L2 data volume [GBytes],4.2576,
