STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595150984 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 0
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,6361590112
CPU_CLOCKS_UNHALTED,PMC1,2730426516
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,84052090
TABLE,Group 1 Metric,L2,8
Metric,HWThread 0,
Runtime (RDTSC) [s],22.6819,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4292,
L2D load bandwidth [MBytes/s],237.1646,
L2D load data volume [GBytes],5.3793,
L2 bandwidth [MBytes/s],237.1646,
L2 data volume [GBytes],5.3793,
