STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595156707 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 67
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,2528537229156
CPU_CLOCKS_UNHALTED,PMC1,1392410671174
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,26349539292
TABLE,Group 1 Metric,L2,8
Metric,HWThread 67,
Runtime (RDTSC) [s],561.8986,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.5507,
L2D load bandwidth [MBytes/s],3001.2007,
L2D load data volume [GBytes],1686.3705,
L2 bandwidth [MBytes/s],3001.2007,
L2 data volume [GBytes],1686.3705,
