STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595146168 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 39
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,992825743368
CPU_CLOCKS_UNHALTED,PMC1,612215428822
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,13360315981
TABLE,Group 1 Metric,L2,8
Metric,HWThread 39,
Runtime (RDTSC) [s],276.4153,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.6166,
L2D load bandwidth [MBytes/s],3093.3900,
L2D load data volume [GBytes],855.0602,
L2 bandwidth [MBytes/s],3093.3900,
L2 data volume [GBytes],855.0602,
