STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595138788 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 80
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,4507325535
CPU_CLOCKS_UNHALTED,PMC1,2240949712
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,83038693
TABLE,Group 1 Metric,L2,8
Metric,HWThread 80,
Runtime (RDTSC) [s],12.5004,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4972,
L2D load bandwidth [MBytes/s],425.1452,
L2D load data volume [GBytes],5.3145,
L2 bandwidth [MBytes/s],425.1452,
L2 data volume [GBytes],5.3145,
