STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595074361 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 82
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,4395385399
CPU_CLOCKS_UNHALTED,PMC1,2203786824
DATA_CACHE_ACCESSES,PMC2,2041854428
DATA_CACHE_REFILLS_ALL,PMC3,11843047
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 82,
Runtime (RDTSC) [s],12.3261,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.5014,
data cache requests,2041854428,
data cache request rate,0.4645,
data cache misses,11843047,
data cache miss rate,0.0027,
data cache miss ratio,0.0058,
