STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595138047 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 97
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,4865502618
CPU_CLOCKS_UNHALTED,PMC1,2246722859
DATA_CACHE_ACCESSES,PMC2,2319880399
DATA_CACHE_REFILLS_ALL,PMC3,9078667
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 97,
Runtime (RDTSC) [s],12.2799,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4618,
data cache requests,2319880399,
data cache request rate,0.4768,
data cache misses,9078667,
data cache miss rate,0.0019,
data cache miss ratio,0.0039,
