STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595122081 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 39
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,2214775198854
CPU_CLOCKS_UNHALTED,PMC1,1376495907596
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,28386156399
TABLE,Group 1 Metric,L2,8
Metric,HWThread 39,
Runtime (RDTSC) [s],561.4693,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.6215,
L2D load bandwidth [MBytes/s],3235.6424,
L2D load data volume [GBytes],1816.7140,
L2 bandwidth [MBytes/s],3235.6424,
L2 data volume [GBytes],1816.7140,
