STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.594852357 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 83
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,2184892208163
CPU_CLOCKS_UNHALTED,PMC1,1374784504189
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,29059849810
TABLE,Group 1 Metric,L2,8
Metric,HWThread 83,
Runtime (RDTSC) [s],561.7947,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.6292,
L2D load bandwidth [MBytes/s],3310.5162,
L2D load data volume [GBytes],1859.8304,
L2 bandwidth [MBytes/s],3310.5162,
L2 data volume [GBytes],1859.8304,
