STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595101742 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 106
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,4684405659
CPU_CLOCKS_UNHALTED,PMC1,2403846941
DATA_CACHE_ACCESSES,PMC2,2224474256
DATA_CACHE_REFILLS_ALL,PMC3,9796620
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 106,
Runtime (RDTSC) [s],19.9317,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.5132,
data cache requests,2224474256,
data cache request rate,0.4749,
data cache misses,9796620,
data cache miss rate,0.0021,
data cache miss ratio,0.0044,
