STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595139974 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 73
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,6985888980
CPU_CLOCKS_UNHALTED,PMC1,2930302551
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,69890673
TABLE,Group 1 Metric,L2,8
Metric,HWThread 73,
Runtime (RDTSC) [s],20.3540,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4195,
L2D load bandwidth [MBytes/s],219.7602,
L2D load data volume [GBytes],4.4730,
L2 bandwidth [MBytes/s],219.7602,
L2 data volume [GBytes],4.4730,
