STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595137774 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 16
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,7347820617
CPU_CLOCKS_UNHALTED,PMC1,3041873366
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,78580219
TABLE,Group 1 Metric,L2,8
Metric,HWThread 16,
Runtime (RDTSC) [s],23.6913,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4140,
L2D load bandwidth [MBytes/s],212.2780,
L2D load data volume [GBytes],5.0291,
L2 bandwidth [MBytes/s],212.2780,
L2 data volume [GBytes],5.0291,
