STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595062278 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 31
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,1793972209862
CPU_CLOCKS_UNHALTED,PMC1,1241947206863
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,15571002108
TABLE,Group 1 Metric,L2,8
Metric,HWThread 31,
Runtime (RDTSC) [s],519.0112,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.6923,
L2D load bandwidth [MBytes/s],1920.0822,
L2D load data volume [GBytes],996.5441,
L2 bandwidth [MBytes/s],1920.0822,
L2 data volume [GBytes],996.5441,
