STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595129497 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 23
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,1705429682803
CPU_CLOCKS_UNHALTED,PMC1,1219223392617
DATA_CACHE_ACCESSES,PMC2,850498986096
DATA_CACHE_REFILLS_ALL,PMC3,4262591983
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 23,
Runtime (RDTSC) [s],513.6273,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.7149,
data cache requests,850498986096,
data cache request rate,0.4987,
data cache misses,4262591983,
data cache miss rate,0.0025,
data cache miss ratio,0.0050,
