STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595117337 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 49
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,1798685288208
CPU_CLOCKS_UNHALTED,PMC1,1231262729865
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,16229990020
TABLE,Group 1 Metric,L2,8
Metric,HWThread 49,
Runtime (RDTSC) [s],519.9016,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.6845,
L2D load bandwidth [MBytes/s],1997.9152,
L2D load data volume [GBytes],1038.7194,
L2 bandwidth [MBytes/s],1997.9152,
L2 data volume [GBytes],1038.7194,
