STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595082702 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 106
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,1492124070866
CPU_CLOCKS_UNHALTED,PMC1,1235037242277
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,18169783810
TABLE,Group 1 Metric,L2,8
Metric,HWThread 106,
Runtime (RDTSC) [s],519.3569,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.8277,
L2D load bandwidth [MBytes/s],2239.0504,
L2D load data volume [GBytes],1162.8662,
L2 bandwidth [MBytes/s],2239.0504,
L2 data volume [GBytes],1162.8662,
