STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595096335 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 56
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,1696827810310
CPU_CLOCKS_UNHALTED,PMC1,1205872827937
DATA_CACHE_ACCESSES,PMC2,852632162188
DATA_CACHE_REFILLS_ALL,PMC3,4045230028
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 56,
Runtime (RDTSC) [s],513.9841,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.7107,
data cache requests,852632162188,
data cache request rate,0.5025,
data cache misses,4045230028,
data cache miss rate,0.0024,
data cache miss ratio,0.0047,
