STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595088568 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 37
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,1325893088085
CPU_CLOCKS_UNHALTED,PMC1,868735346970
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,22960052875
TABLE,Group 1 Metric,L2,8
Metric,HWThread 37,
Runtime (RDTSC) [s],367.4704,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.6552,
L2D load bandwidth [MBytes/s],3998.8079,
L2D load data volume [GBytes],1469.4434,
L2 bandwidth [MBytes/s],3998.8079,
L2 data volume [GBytes],1469.4434,
