STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.59510117 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 14
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,2549108838298
CPU_CLOCKS_UNHALTED,PMC1,1375479403653
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,17446028225
TABLE,Group 1 Metric,L2,8
Metric,HWThread 14,
Runtime (RDTSC) [s],568.9940,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.5396,
L2D load bandwidth [MBytes/s],1962.3155,
L2D load data volume [GBytes],1116.5458,
L2 bandwidth [MBytes/s],1962.3155,
L2 data volume [GBytes],1116.5458,
