STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595125214 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 50
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,4925124653
CPU_CLOCKS_UNHALTED,PMC1,2094355358
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,58554131
TABLE,Group 1 Metric,L2,8
Metric,HWThread 50,
Runtime (RDTSC) [s],10.8835,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4252,
L2D load bandwidth [MBytes/s],344.3265,
L2D load data volume [GBytes],3.7475,
L2 bandwidth [MBytes/s],344.3265,
L2 data volume [GBytes],3.7475,
