STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595125597 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 103
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,2634806586546
CPU_CLOCKS_UNHALTED,PMC1,1622477099661
DATA_CACHE_ACCESSES,PMC2,1291569885139
DATA_CACHE_REFILLS_ALL,PMC3,7717158908
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 103,
Runtime (RDTSC) [s],661.5081,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.6158,
data cache requests,1291569885139,
data cache request rate,0.4902,
data cache misses,7717158908,
data cache miss rate,0.0029,
data cache miss ratio,0.0060,
