STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595146158 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 3
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,1742007915328
CPU_CLOCKS_UNHALTED,PMC1,886359021037
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,19065947787
TABLE,Group 1 Metric,L2,8
Metric,HWThread 3,
Runtime (RDTSC) [s],368.2939,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.5088,
L2D load bandwidth [MBytes/s],3313.1713,
L2D load data volume [GBytes],1220.2207,
L2 bandwidth [MBytes/s],3313.1713,
L2 data volume [GBytes],1220.2207,
