STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595139906 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 51
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,5758921723
CPU_CLOCKS_UNHALTED,PMC1,2587261832
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,73751748
TABLE,Group 1 Metric,L2,8
Metric,HWThread 51,
Runtime (RDTSC) [s],11.8257,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4493,
L2D load bandwidth [MBytes/s],399.1393,
L2D load data volume [GBytes],4.7201,
L2 bandwidth [MBytes/s],399.1393,
L2 data volume [GBytes],4.7201,
