STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595134155 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 65
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,6350035207
CPU_CLOCKS_UNHALTED,PMC1,2663454066
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,65619368
TABLE,Group 1 Metric,L2,8
Metric,HWThread 65,
Runtime (RDTSC) [s],11.8478,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4194,
L2D load bandwidth [MBytes/s],354.4669,
L2D load data volume [GBytes],4.1996,
L2 bandwidth [MBytes/s],354.4669,
L2 data volume [GBytes],4.1996,
