STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595093381 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 70
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,5594016332
CPU_CLOCKS_UNHALTED,PMC1,2924533943
DATA_CACHE_ACCESSES,PMC2,2695996937
DATA_CACHE_REFILLS_ALL,PMC3,11476174
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 70,
Runtime (RDTSC) [s],20.7691,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.5228,
data cache requests,2695996937,
data cache request rate,0.4819,
data cache misses,11476174,
data cache miss rate,0.0021,
data cache miss ratio,0.0043,
