STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595144887 GHz,
TABLE,Group 1 Raw,CACHE,6
Event,Counter,HWThread 98
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,5144710010
CPU_CLOCKS_UNHALTED,PMC1,3003106707
DATA_CACHE_ACCESSES,PMC2,2503556718
DATA_CACHE_REFILLS_ALL,PMC3,11185675
TABLE,Group 1 Metric,CACHE,9
Metric,HWThread 98,
Runtime (RDTSC) [s],20.2446,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.5837,
data cache requests,2503556718,
data cache request rate,0.4866,
data cache misses,11185675,
data cache miss rate,0.0022,
data cache miss ratio,0.0045,
