STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.595127612 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 118
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,1437524339073
CPU_CLOCKS_UNHALTED,PMC1,637633500900
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,10463174455
TABLE,Group 1 Metric,L2,8
Metric,HWThread 118,
Runtime (RDTSC) [s],278.6136,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.4436,
L2D load bandwidth [MBytes/s],2403.4832,
L2D load data volume [GBytes],669.6432,
L2 bandwidth [MBytes/s],2403.4832,
L2 data volume [GBytes],669.6432,
