STRUCT,Info,3
CPU name:,AMD EPYC 7H12 64-Core Processor                ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.5951009 GHz,
TABLE,Group 1 Raw,L2,5
Event,Counter,HWThread 94
ACTUAL_CPU_CLOCK,FIXC1,0
MAX_CPU_CLOCK,FIXC2,0
RETIRED_INSTRUCTIONS,PMC0,1168649994880
CPU_CLOCKS_UNHALTED,PMC1,630617906100
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC3,10876730135
TABLE,Group 1 Metric,L2,8
Metric,HWThread 94,
Runtime (RDTSC) [s],278.1549,
Runtime unhalted [s],0,
Clock [MHz],-,
CPI,0.5396,
L2D load bandwidth [MBytes/s],2502.6012,
L2D load data volume [GBytes],696.1107,
L2 bandwidth [MBytes/s],2502.6012,
L2 data volume [GBytes],696.1107,
